category,text
SCIENCE,"Part of the space agency's Artemis program, the rocket is the most powerful to date."
SCIENCE,"“We’re going to play all nine innings here,” the Artemis mission manager said after the first launch was scrubbed."
SCIENCE,Video shows people apparently spotting the rocket's burning debris in the night sky over Malaysia.
SCIENCE,Experts already believe the site served as more than just a tomb.
SCIENCE,"""It's going to be fun, this telescope."""
SCIENCE,"Thousands of miles from its range, a wayward Steller’s sea eagle enthralls scientists and birders alike."
SCIENCE,"Orginally, scientists thought organic compounds in the rock may have been left by living creatures, but the marks were actually caused by salty water."
SCIENCE,A once-in-a-lifetime sighting has bird lovers flocking to the Taunton River in southeastern Massachusetts.
SCIENCE,It’s the first time a spacewalk has been canceled because of threat from space junk.
SCIENCE,"Persistent concerns about Aduhelm, the disease's first new treatment in about 20 years, are curbing access more than four months after regulators approved it."
SCIENCE,The thrill-seeking billionaire and five employees took off from New Mexico.
SCIENCE,The large skull is big enough to hold a modern-sized brain.
SCIENCE,"Earthworms in a ""herd"" is a thing, but the shape has experts baffled."
SCIENCE,"How do you say Mars in Navajo? Try ""Máaz."""
SCIENCE,Systems engineer Ian Clark used a binary code to spell out “Dare Mighty Things” in the orange and white strips of the 70-foot parachute.
SCIENCE,"Mission controllers at the UAE’s space center in Dubai announced that the unmanned craft, called Amal, Arabic for Hope, swung into orbit around Mars on Tuesday."
SCIENCE,"J&J said within a week, it will file an application for emergency use in the U.S., and then abroad."
SCIENCE,Scientists have confirmed for the first time the presence of water on the moon’s sunlit surface.
SCIENCE,Carmen Blandin Tarleton is the first American and only the second person to have two face transplants.
SCIENCE,"1998 OR2 appears to know the planet is facing the coronavirus pandemic, researchers joked."
SCIENCE,The biggest supermoon of the year was quite the sight Tuesday.
SCIENCE,The New Horizons probe is hurtling toward an object nicknamed Ultima Thule in the mostly unexplored Kuiper Belt.
SCIENCE,The plane uses an ion drive to propel itself through the air -- in absolute silence.
SCIENCE,The agency first wants to learn various lessons by sending humans back to the moon.
SCIENCE,"""Climate isn’t a day, climate is long-term,"" Chad Myers explains as he gives a global perspective."
SCIENCE,"David M'zee can walk over a half  mile, hands free, with the implants turned on."
SCIENCE,"This year's chemistry prize was all about ""harnessing the power of evolution."""
SCIENCE,The dwarf planet is new evidence of the long-sought Planet X.
SCIENCE,The researchers plan to scour the Loch Ness next month for evidence of its supposed inhabitant.
SCIENCE,"The supposed ""interstellar immigrant"" is located near Jupiter but has an atypical orbit."
SCIENCE,It's the first time a rocket designed by a Chinese private company has successfully entered orbit.
SCIENCE,Some of America's top researchers will move to France to continue their research.
SCIENCE,The new treatise on the existence of parallel universes was published on Friday.
SCIENCE,"Steamboat blows but that doesn't mean Yellowstone's supervolcano is going to spew, experts say."
SCIENCE,"However, the smell could quite literally be the last thing you notice."
SCIENCE,Scientists say they haven't seen these features before.
SCIENCE,"""Save the planet"" is a misguided rallying cry. Here's why."
